Open,High,Low,Close,Adj Close,Volume,Return,Date,Week_Number,Year,Day,Weekday,mean_return,volatility
267.8399963,268.8099976,267.3999939,268.769989,244.0577698,86655700,0,2018-01-02 00:00:00-05:00,0,2018,2,Tuesday,0.43025,0.306522838
268.9599915,270.6400146,268.9599915,270.4700012,245.6014557,90070400,0.633,2018-01-03 00:00:00-05:00,0,2018,3,Wednesday,0.43025,0.306522838
271.2000122,272.1600037,270.5400085,271.6099854,246.6366882,80636400,0.422,2018-01-04 00:00:00-05:00,0,2018,4,Thursday,0.43025,0.306522838
272.5100098,273.5599976,271.9500122,273.4200134,248.2801819,83524000,0.666,2018-01-05 00:00:00-05:00,0,2018,5,Friday,0.43025,0.306522838
273.3099976,274.1000061,272.980011,273.9200134,248.7342682,57319200,0.183,2018-01-08 00:00:00-05:00,1,2018,8,Monday,0.3276,0.363788812
274.3999939,275.25,274.0799866,274.5400085,249.2972717,57254000,0.226,2018-01-09 00:00:00-05:00,1,2018,9,Tuesday,0.3276,0.363788812
273.6799927,274.4200134,272.9200134,274.1199951,248.9158783,69574300,-0.153,2018-01-10 00:00:00-05:00,1,2018,10,Wednesday,0.3276,0.363788812
274.75,276.1199951,274.5599976,276.1199951,250.7320557,62361500,0.73,2018-01-11 00:00:00-05:00,1,2018,11,Thursday,0.3276,0.363788812
276.4200134,278.1099854,276.0799866,277.9200134,252.3664703,90816100,0.652,2018-01-12 00:00:00-05:00,1,2018,12,Friday,0.3276,0.363788812
279.3500061,280.0899963,276.1799927,276.9700012,251.5038147,106555100,-0.342,2018-01-16 00:00:00-05:00,2,2018,16,Tuesday,0.2245,0.594087816
278.0299988,280.0499878,276.9700012,279.6099854,253.9010468,113258800,0.953,2018-01-17 00:00:00-05:00,2,2018,17,Wednesday,0.2245,0.594087816
279.480011,279.9599915,278.5799866,279.1400146,253.4743042,100728000,-0.168,2018-01-18 00:00:00-05:00,2,2018,18,Thursday,0.2245,0.594087816
279.7999878,280.4100037,279.1400146,280.4100037,254.6275482,140920100,0.455,2018-01-19 00:00:00-05:00,2,2018,19,Friday,0.2245,0.594087816
280.1700134,282.6900024,280.1099854,282.6900024,256.6979065,91322400,0.813,2018-01-22 00:00:00-05:00,3,2018,22,Monday,0.4372,0.523078101
282.7399902,283.6199951,282.3699951,283.2900085,257.2426758,97084700,0.212,2018-01-23 00:00:00-05:00,3,2018,23,Tuesday,0.4372,0.523078101
284.019989,284.7000122,281.8399963,283.1799927,257.1428833,134816100,-0.039,2018-01-24 00:00:00-05:00,3,2018,24,Wednesday,0.4372,0.523078101
284.1600037,284.269989,282.3999939,283.2999878,257.25177,84587300,0.042,2018-01-25 00:00:00-05:00,3,2018,25,Thursday,0.4372,0.523078101
284.25,286.6300049,283.9599915,286.5799866,260.2302551,107743100,1.158,2018-01-26 00:00:00-05:00,3,2018,26,Friday,0.4372,0.523078101
285.9299927,286.4299927,284.5,284.6799927,258.5050049,90118300,-0.663,2018-01-29 00:00:00-05:00,4,2018,29,Monday,-0.786,0.888550786
282.6000061,284.7399902,281.2200012,281.7600098,255.8533783,131796400,-1.026,2018-01-30 00:00:00-05:00,4,2018,30,Tuesday,-0.786,0.888550786
282.730011,283.2999878,280.6799927,281.8999939,255.9805603,108364800,0.05,2018-01-31 00:00:00-05:00,4,2018,31,Wednesday,-0.786,0.888550786
281.0700073,283.0599976,280.6799927,281.5799866,255.6899261,90102500,-0.114,2018-02-01 00:00:00-05:00,4,2018,1,Thursday,-0.786,0.888550786
280.0799866,280.230011,275.4100037,275.4500122,250.1235962,173174800,-2.177,2018-02-02 00:00:00-05:00,4,2018,2,Friday,-0.786,0.888550786
273.4500122,275.8500061,263.3099976,263.9299927,239.662796,294681800,-4.182,2018-02-05 00:00:00-05:00,5,2018,5,Monday,-1.0006,2.871575839
259.9400024,269.7000122,258.7000122,269.1300049,244.3846893,355026800,1.97,2018-02-06 00:00:00-05:00,5,2018,6,Tuesday,-1.0006,2.871575839
268.5,272.3599854,267.5799866,267.6700134,243.0589752,167376100,-0.542,2018-02-07 00:00:00-05:00,5,2018,7,Wednesday,-1.0006,2.871575839
268.0100098,268.1700134,257.5899963,257.6300049,233.9421082,246449500,-3.751,2018-02-08 00:00:00-05:00,5,2018,8,Thursday,-1.0006,2.871575839
260.7999878,263.6099854,252.9199982,261.5,237.4562073,283565300,1.502,2018-02-09 00:00:00-05:00,5,2018,9,Friday,-1.0006,2.871575839
263.8299866,267.0100098,261.6600037,265.3399963,240.9432526,143736000,1.469,2018-02-12 00:00:00-05:00,6,2018,12,Monday,0.8746,0.679494886
263.9700012,266.6199951,263.3099976,266,241.5424957,81223600,0.249,2018-02-13 00:00:00-05:00,6,2018,13,Tuesday,0.8746,0.679494886
264.3099976,270,264.2999878,269.5899963,244.8023682,120735700,1.35,2018-02-14 00:00:00-05:00,6,2018,14,Wednesday,0.8746,0.679494886
271.5700073,273.0400085,268.769989,273.0299988,247.9261017,111200300,1.276,2018-02-15 00:00:00-05:00,6,2018,15,Thursday,0.8746,0.679494886
272.3200073,275.3200073,272.269989,273.1099854,247.998703,160420100,0.029,2018-02-16 00:00:00-05:00,6,2018,16,Friday,0.8746,0.679494886
272.0299988,273.6700134,270.5,271.3999939,246.4459229,86369700,-0.626,2018-02-20 00:00:00-05:00,7,2018,20,Tuesday,0.15025,1.017565846
271.8999939,274.7200012,269.9400024,270.0499878,245.220108,98883700,-0.497,2018-02-21 00:00:00-05:00,7,2018,21,Wednesday,0.15025,1.017565846
271.1000061,273.0499878,269.6400146,270.3999939,245.5379486,110511300,0.13,2018-02-22 00:00:00-05:00,7,2018,22,Thursday,0.15025,1.017565846
